1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
70, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
71, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
72, plains, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
73, plains, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
74, plains, minecraft:plains, AMBIENT, terraincognita:butterfly, 10, 4, 8
75, plains, minecraft:plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
76, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
77, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
78, plains, minecraft:plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
79, plains, minecraft:plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
80, plains, minecraft:plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
81, plains, minecraft:plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
82, plains, minecraft:plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
83, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
84, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
85, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
86, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
87, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
88, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
89, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
90, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
91, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
92, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
93, desert, minecraft:desert, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
94, desert, minecraft:desert, MONSTER, betterdefaultbiomes:desert_bandit, 80, 1, 3
95, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
96, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
97, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
98, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
99, desert, minecraft:desert, MONSTER, rats:rat_spawner, 80, 1, 3
100, desert, minecraft:desert, MONSTER, rats:pied_piper, 10, 1, 1
101, desert, minecraft:desert, MONSTER, tconstruct:earth_slime, 80, 2, 4
102, desert, minecraft:desert, MONSTER, tconstruct:sky_slime, 80, 2, 4
103, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 1, 1
104, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
105, desert, minecraft:desert, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
106, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
107, desert, minecraft:desert, CREATURE, exoticbirds:roadrunner, 10, 2, 5
108, desert, minecraft:desert, CREATURE, exoticbirds:ostrich, 10, 2, 5
109, desert, minecraft:desert, CREATURE, betterdefaultbiomes:camel, 10, 2, 3
110, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
111, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
112, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
113, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
114, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
115, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
116, desert, minecraft:desert, CREATURE, cnb:lizard, 50, 1, 4
117, desert, minecraft:desert, CREATURE, betteranimalsplus:coyote, 10, 1, 6
118, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
119, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
120, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
121, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
122, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
123, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
124, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
125, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
126, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
127, extreme_hills, minecraft:mountains, MONSTER, minecraft:spider, 80, 4, 4
128, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie, 80, 4, 4
129, extreme_hills, minecraft:mountains, MONSTER, minecraft:zombie_villager, 10, 1, 1
130, extreme_hills, minecraft:mountains, MONSTER, minecraft:skeleton, 80, 4, 4
131, extreme_hills, minecraft:mountains, MONSTER, minecraft:creeper, 80, 4, 4
132, extreme_hills, minecraft:mountains, MONSTER, minecraft:slime, 80, 4, 4
133, extreme_hills, minecraft:mountains, MONSTER, minecraft:enderman, 5, 1, 4
134, extreme_hills, minecraft:mountains, MONSTER, minecraft:witch, 5, 1, 1
135, extreme_hills, minecraft:mountains, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
136, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
137, extreme_hills, minecraft:mountains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
138, extreme_hills, minecraft:mountains, MONSTER, rats:rat_spawner, 80, 1, 3
139, extreme_hills, minecraft:mountains, MONSTER, rats:pied_piper, 10, 1, 1
140, extreme_hills, minecraft:mountains, MONSTER, tconstruct:earth_slime, 80, 2, 4
141, extreme_hills, minecraft:mountains, MONSTER, tconstruct:sky_slime, 80, 2, 4
142, extreme_hills, minecraft:mountains, MONSTER, quark:toretoise, 80, 1, 1
143, extreme_hills, minecraft:mountains, MONSTER, quark:stoneling, 80, 1, 1
144, extreme_hills, minecraft:mountains, CREATURE, minecraft:sheep, 12, 4, 4
145, extreme_hills, minecraft:mountains, CREATURE, minecraft:pig, 10, 4, 4
146, extreme_hills, minecraft:mountains, CREATURE, minecraft:chicken, 10, 4, 4
147, extreme_hills, minecraft:mountains, CREATURE, minecraft:cow, 10, 4, 4
148, extreme_hills, minecraft:mountains, CREATURE, minecraft:llama, 10, 4, 6
149, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
150, extreme_hills, minecraft:mountains, CREATURE, alexsmobs:sunbird, 10, 1, 1
151, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:lammergeier, 10, 1, 2
152, extreme_hills, minecraft:mountains, CREATURE, betteranimalsplus:goat, 10, 1, 4
153, extreme_hills, minecraft:mountains, AMBIENT, minecraft:bat, 10, 8, 8
154, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
155, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
156, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:fly, 10, 2, 3
157, extreme_hills, minecraft:mountains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
158, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
159, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
160, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
161, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
162, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
163, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
164, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
165, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
166, extreme_hills, minecraft:mountains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
167, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
168, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
169, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
170, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
171, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
172, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
173, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
174, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
175, forest, minecraft:forest, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
176, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
177, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
178, forest, minecraft:forest, MONSTER, rats:rat_spawner, 80, 1, 3
179, forest, minecraft:forest, MONSTER, rats:pied_piper, 10, 1, 1
180, forest, minecraft:forest, MONSTER, tconstruct:earth_slime, 80, 2, 4
181, forest, minecraft:forest, MONSTER, tconstruct:sky_slime, 80, 2, 4
182, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 1, 1
183, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
184, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
185, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
186, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
187, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 4, 4
188, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
189, forest, minecraft:forest, CREATURE, exoticbirds:bluejay, 12, 2, 5
190, forest, minecraft:forest, CREATURE, exoticbirds:cardinal, 12, 2, 5
191, forest, minecraft:forest, CREATURE, exoticbirds:robin, 12, 2, 5
192, forest, minecraft:forest, CREATURE, exoticbirds:lyrebird, 10, 2, 5
193, forest, minecraft:forest, CREATURE, exoticbirds:hummingbird, 18, 2, 5
194, forest, minecraft:forest, CREATURE, exoticbirds:peafowl, 10, 2, 5
195, forest, minecraft:forest, CREATURE, exoticbirds:magpie, 12, 2, 5
196, forest, minecraft:forest, CREATURE, exoticbirds:cassowary, 10, 2, 5
197, forest, minecraft:forest, CREATURE, exoticbirds:kiwi, 10, 2, 5
198, forest, minecraft:forest, CREATURE, exoticbirds:pigeon, 12, 2, 5
199, forest, minecraft:forest, CREATURE, exoticbirds:woodpecker, 12, 2, 5
200, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
201, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
202, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
203, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
204, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
205, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
206, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
207, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
208, forest, minecraft:forest, CREATURE, betteranimalsplus:goat, 10, 1, 4
209, forest, minecraft:forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
210, forest, minecraft:forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
211, forest, minecraft:forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
212, forest, minecraft:forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
213, forest, minecraft:forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
214, forest, minecraft:forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
215, forest, minecraft:forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
216, forest, minecraft:forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
217, forest, minecraft:forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
218, forest, minecraft:forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
219, forest, minecraft:forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
220, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
221, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
222, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
223, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
224, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
225, forest, minecraft:forest, AMBIENT, terraincognita:butterfly, 10, 4, 8
226, forest, minecraft:forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
227, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
228, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
229, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
230, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
231, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
232, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
233, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
234, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
235, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
236, taiga, minecraft:taiga, MONSTER, minecraft:spider, 80, 4, 4
237, taiga, minecraft:taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
238, taiga, minecraft:taiga, MONSTER, minecraft:skeleton, 80, 4, 4
239, taiga, minecraft:taiga, MONSTER, minecraft:creeper, 80, 4, 4
240, taiga, minecraft:taiga, MONSTER, minecraft:slime, 80, 4, 4
241, taiga, minecraft:taiga, MONSTER, minecraft:enderman, 5, 1, 4
242, taiga, minecraft:taiga, MONSTER, minecraft:witch, 5, 1, 1
243, taiga, minecraft:taiga, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
244, taiga, minecraft:taiga, MONSTER, betterdefaultbiomes:frozen_zombie, 80, 4, 4
245, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
246, taiga, minecraft:taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
247, taiga, minecraft:taiga, MONSTER, rats:rat_spawner, 80, 1, 3
248, taiga, minecraft:taiga, MONSTER, rats:pied_piper, 10, 1, 1
249, taiga, minecraft:taiga, MONSTER, tconstruct:earth_slime, 80, 2, 4
250, taiga, minecraft:taiga, MONSTER, tconstruct:sky_slime, 80, 2, 4
251, taiga, minecraft:taiga, MONSTER, quark:toretoise, 80, 1, 1
252, taiga, minecraft:taiga, MONSTER, quark:stoneling, 80, 1, 1
253, taiga, minecraft:taiga, CREATURE, minecraft:sheep, 12, 4, 4
254, taiga, minecraft:taiga, CREATURE, minecraft:pig, 10, 4, 4
255, taiga, minecraft:taiga, CREATURE, minecraft:chicken, 10, 4, 4
256, taiga, minecraft:taiga, CREATURE, minecraft:cow, 10, 4, 4
257, taiga, minecraft:taiga, CREATURE, minecraft:wolf, 10, 4, 4
258, taiga, minecraft:taiga, CREATURE, minecraft:rabbit, 10, 2, 3
259, taiga, minecraft:taiga, CREATURE, minecraft:fox, 10, 2, 4
260, taiga, minecraft:taiga, CREATURE, exoticbirds:robin, 12, 2, 5
261, taiga, minecraft:taiga, CREATURE, exoticbirds:owl, 10, 2, 5
262, taiga, minecraft:taiga, CREATURE, exoticbirds:woodpecker, 12, 2, 5
263, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
264, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
265, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
266, taiga, minecraft:taiga, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
267, taiga, minecraft:taiga, CREATURE, alexsmobs:raccoon, 10, 2, 4
268, taiga, minecraft:taiga, CREATURE, alexsmobs:crow, 10, 3, 5
269, taiga, minecraft:taiga, CREATURE, betteranimalsplus:goat, 10, 1, 4
270, taiga, minecraft:taiga, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
271, taiga, minecraft:taiga, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
272, taiga, minecraft:taiga, CREATURE, betteranimalsplus:songbird, 11, 1, 4
273, taiga, minecraft:taiga, CREATURE, betteranimalsplus:badger, 10, 1, 2
274, taiga, minecraft:taiga, CREATURE, betteranimalsplus:turkey, 11, 1, 3
275, taiga, minecraft:taiga, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
276, taiga, minecraft:taiga, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
277, taiga, minecraft:taiga, CREATURE, betteranimalsplus:deer, 16, 1, 4
278, taiga, minecraft:taiga, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
279, taiga, minecraft:taiga, CREATURE, betteranimalsplus:boar, 10, 1, 4
280, taiga, minecraft:taiga, AMBIENT, minecraft:bat, 10, 8, 8
281, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
282, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
283, taiga, minecraft:taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
284, taiga, minecraft:taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
285, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
286, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
287, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
288, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
289, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
290, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
291, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
292, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
293, taiga, minecraft:taiga, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
294, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
295, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
296, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
297, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
298, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
299, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
300, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
301, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
302, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
303, swamp, minecraft:swamp, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
304, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
305, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
306, swamp, minecraft:swamp, MONSTER, rats:rat_spawner, 80, 1, 3
307, swamp, minecraft:swamp, MONSTER, rats:pied_piper, 10, 1, 1
308, swamp, minecraft:swamp, MONSTER, tconstruct:earth_slime, 80, 2, 4
309, swamp, minecraft:swamp, MONSTER, tconstruct:sky_slime, 80, 2, 4
310, swamp, minecraft:swamp, MONSTER, quark:toretoise, 80, 1, 1
311, swamp, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
312, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
313, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
314, swamp, minecraft:swamp, CREATURE, exoticbirds:flamingo, 10, 2, 5
315, swamp, minecraft:swamp, CREATURE, exoticbirds:hummingbird, 18, 2, 5
316, swamp, minecraft:swamp, CREATURE, exoticbirds:crane, 10, 2, 5
317, swamp, minecraft:swamp, CREATURE, exoticbirds:duck, 10, 2, 5
318, swamp, minecraft:swamp, CREATURE, exoticbirds:heron, 10, 2, 5
319, swamp, minecraft:swamp, CREATURE, exoticbirds:pigeon, 12, 2, 5
320, swamp, minecraft:swamp, CREATURE, betterdefaultbiomes:muddy_pig, 10, 4, 4
321, swamp, minecraft:swamp, CREATURE, betterdefaultbiomes:duck, 10, 4, 4
322, swamp, minecraft:swamp, CREATURE, betterdefaultbiomes:frog, 10, 2, 4
323, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
324, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
325, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
326, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
327, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
328, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
329, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
330, swamp, minecraft:swamp, CREATURE, cnb:friendly_sporeling, 40, 3, 5
331, swamp, minecraft:swamp, CREATURE, cnb:lilytad, 35, 1, 1
332, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
333, swamp, minecraft:swamp, CREATURE, betteranimalsplus:crab, 10, 1, 3
334, swamp, minecraft:swamp, CREATURE, betteranimalsplus:moose, 10, 1, 1
335, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
336, swamp, minecraft:swamp, AMBIENT, supplementaries:firefly, 10, 5, 9
337, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
