1, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
77, repurposed_structures:outpost_badlands, MONSTER, minecraft:pillager, 10, 1, 1
78, repurposed_structures:outpost_snowy, HEADING, header:ignore, 0, 0, 0
79, repurposed_structures:outpost_snowy, MONSTER, minecraft:pillager, 10, 1, 1
80, repurposed_structures:outpost_icy, HEADING, header:ignore, 0, 0, 0
81, repurposed_structures:outpost_icy, MONSTER, minecraft:pillager, 10, 1, 1
82, repurposed_structures:outpost_taiga, HEADING, header:ignore, 0, 0, 0
83, repurposed_structures:outpost_taiga, MONSTER, minecraft:pillager, 10, 1, 1
84, repurposed_structures:outpost_oak, HEADING, header:ignore, 0, 0, 0
85, repurposed_structures:outpost_oak, MONSTER, minecraft:pillager, 10, 1, 1
86, repurposed_structures:outpost_nether_brick, HEADING, header:ignore, 0, 0, 0
87, repurposed_structures:outpost_nether_brick, MONSTER, minecraft:piglin, 10, 1, 1
88, repurposed_structures:outpost_warped, HEADING, header:ignore, 0, 0, 0
89, repurposed_structures:outpost_warped, MONSTER, minecraft:piglin, 10, 1, 1
90, repurposed_structures:outpost_crimson, HEADING, header:ignore, 0, 0, 0
91, repurposed_structures:outpost_crimson, MONSTER, minecraft:piglin, 10, 1, 1
92, repurposed_structures:outpost_end, HEADING, header:ignore, 0, 0, 0
93, repurposed_structures:outpost_end, MONSTER, minecraft:phantom, 10, 1, 1
94, repurposed_structures:pyramid_badlands, HEADING, header:ignore, 0, 0, 0
95, repurposed_structures:pyramid_snowy, HEADING, header:ignore, 0, 0, 0
96, repurposed_structures:pyramid_icy, HEADING, header:ignore, 0, 0, 0
97, repurposed_structures:pyramid_jungle, HEADING, header:ignore, 0, 0, 0
98, repurposed_structures:pyramid_mushroom, HEADING, header:ignore, 0, 0, 0
99, repurposed_structures:pyramid_ocean, HEADING, header:ignore, 0, 0, 0
100, repurposed_structures:pyramid_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
101, repurposed_structures:pyramid_flower_forest, HEADING, header:ignore, 0, 0, 0
102, repurposed_structures:pyramid_nether, HEADING, header:ignore, 0, 0, 0
103, repurposed_structures:pyramid_end, HEADING, header:ignore, 0, 0, 0
104, repurposed_structures:shipwreck_end, HEADING, header:ignore, 0, 0, 0
105, repurposed_structures:shipwreck_nether_bricks, HEADING, header:ignore, 0, 0, 0
106, repurposed_structures:shipwreck_crimson, HEADING, header:ignore, 0, 0, 0
107, repurposed_structures:shipwreck_warped, HEADING, header:ignore, 0, 0, 0
108, repurposed_structures:village_badlands, HEADING, header:ignore, 0, 0, 0
109, repurposed_structures:village_birch, HEADING, header:ignore, 0, 0, 0
110, repurposed_structures:village_dark_oak, HEADING, header:ignore, 0, 0, 0
111, repurposed_structures:village_jungle, HEADING, header:ignore, 0, 0, 0
112, repurposed_structures:village_swamp, HEADING, header:ignore, 0, 0, 0
113, repurposed_structures:village_mountains, HEADING, header:ignore, 0, 0, 0
114, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
115, repurposed_structures:village_oak, HEADING, header:ignore, 0, 0, 0
116, repurposed_structures:village_crimson, HEADING, header:ignore, 0, 0, 0
117, repurposed_structures:village_warped, HEADING, header:ignore, 0, 0, 0
118, repurposed_structures:village_mushroom, HEADING, header:ignore, 0, 0, 0
119, repurposed_structures:ruined_portal_end, HEADING, header:ignore, 0, 0, 0
120, repurposed_structures:ruins_nether, HEADING, header:ignore, 0, 0, 0
121, repurposed_structures:ruins_land_warm, HEADING, header:ignore, 0, 0, 0
122, repurposed_structures:ruins_land_hot, HEADING, header:ignore, 0, 0, 0
123, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
124, repurposed_structures:city_nether, MONSTER, minecraft:blaze, 80, 1, 4
125, repurposed_structures:city_nether, MONSTER, minecraft:wither_skeleton, 10, 2, 3
126, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
127, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
128, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
129, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
130, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
131, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
132, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
133, repurposed_structures:witch_hut_oak, HEADING, header:ignore, 0, 0, 0
134, repurposed_structures:witch_hut_oak, MONSTER, minecraft:witch, 10, 1, 1
135, repurposed_structures:witch_hut_oak, CREATURE, minecraft:cat, 10, 1, 1
136, repurposed_structures:witch_hut_taiga, HEADING, header:ignore, 0, 0, 0
137, repurposed_structures:witch_hut_taiga, MONSTER, minecraft:witch, 10, 1, 1
138, repurposed_structures:witch_hut_taiga, CREATURE, minecraft:cat, 10, 1, 1
139, repurposed_structures:witch_hut_birch, HEADING, header:ignore, 0, 0, 0
140, repurposed_structures:witch_hut_birch, MONSTER, minecraft:witch, 10, 1, 1
141, repurposed_structures:witch_hut_birch, CREATURE, minecraft:cat, 10, 1, 1
142, repurposed_structures:witch_hut_dark_forest, HEADING, header:ignore, 0, 0, 0
143, repurposed_structures:witch_hut_dark_forest, MONSTER, minecraft:witch, 10, 1, 1
144, repurposed_structures:witch_hut_dark_forest, CREATURE, minecraft:cat, 10, 1, 1
145, repurposed_structures:witch_hut_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
146, repurposed_structures:witch_hut_giant_tree_taiga, MONSTER, minecraft:witch, 10, 1, 1
147, repurposed_structures:witch_hut_giant_tree_taiga, CREATURE, minecraft:cat, 10, 1, 1
148, repurposed_structures:bastion_underground, HEADING, header:ignore, 0, 0, 0
149, repurposed_structures:bastion_underground, MONSTER, minecraft:skeleton, 10, 1, 4
150, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
151, bettermineshafts:mineshaft, HEADING, header:ignore, 0, 0, 0
152, tconstruct:earth_slime_island, HEADING, header:ignore, 0, 0, 0
153, tconstruct:earth_slime_island, MONSTER, tconstruct:earth_slime, 30, 4, 4
154, tconstruct:overworld_slime_island, HEADING, header:ignore, 0, 0, 0
155, tconstruct:overworld_slime_island, MONSTER, tconstruct:sky_slime, 30, 4, 4
156, tconstruct:clay_island, HEADING, header:ignore, 0, 0, 0
157, tconstruct:clay_island, MONSTER, tconstruct:terracube, 30, 4, 4
158, tconstruct:nether_slime_island, HEADING, header:ignore, 0, 0, 0
159, tconstruct:nether_slime_island, MONSTER, minecraft:magma_cube, 80, 4, 6
160, tconstruct:end_slime_island, HEADING, header:ignore, 0, 0, 0
161, tconstruct:end_slime_island, MONSTER, tconstruct:ender_slime, 30, 4, 4
162, quark:big_dungeon, HEADING, header:ignore, 0, 0, 0
